Node ID, Distance (m), Lat, Lon
357128767, 14392.43, 41.49183, 2.15022 
357128717, 14479.89, 41.49239, 2.14948 
357129311, 14519.08, 41.49263, 2.14982 
357126506, 14657.71, 41.49351, 2.14864 
357125876, 14716.64, 41.49320, 2.14806 
310360665, 14768.77, 41.49285, 2.14764 
310360661, 14784.89, 41.49274, 2.14751 
310360660, 14785.54, 41.49274, 2.14751 
310360659, 14797.35, 41.49267, 2.14740 
310360658, 14803.75, 41.49263, 2.14734 
310360657, 14835.68, 41.49244, 2.14706 
310360655, 14836.27, 41.49244, 2.14705 
311566174, 14844.82, 41.49238, 2.14699 
310411607, 14924.39, 41.49182, 2.14639 
310360653, 14927.51, 41.49179, 2.14637 
367663214, 14931.16, 41.49176, 2.14635 
367663284, 14957.30, 41.49156, 2.14619 
309864946, 14997.65, 41.49170, 2.14574 
309864947, 15081.29, 41.49193, 2.14479 
309864948, 15201.18, 41.49216, 2.14338 
309864949, 15246.93, 41.49216, 2.14284 
309864950, 15289.26, 41.49213, 2.14233 
309864951, 15318.73, 41.49219, 2.14199 
309864952, 15346.31, 41.49232, 2.14170 
309864953, 15373.34, 41.49251, 2.14150 
309864954, 15406.43, 41.49281, 2.14146 
309864955, 15469.79, 41.49337, 2.14161 
309864956, 15548.73, 41.49406, 2.14181 
309864957, 15621.24, 41.49470, 2.14195 
309864958, 15648.41, 41.49495, 2.14195 
309864959, 15745.86, 41.49582, 2.14179 
309864960, 15796.18, 41.49623, 2.14156 
309864961, 15848.21, 41.49661, 2.14118 
309864962, 15962.03, 41.49730, 2.14017 
309864963, 16031.04, 41.49765, 2.13949 
309864964, 16089.32, 41.49785, 2.13884 
309864965, 16264.06, 41.49835, 2.13685 
309864966, 16335.39, 41.49861, 2.13607 
309864967, 16416.70, 41.49900, 2.13525 
309864968, 16498.33, 41.49945, 2.13447 
309864969, 16625.77, 41.50023, 2.13335 
309864970, 16768.66, 41.50114, 2.13214 
1388876541, 16787.39, 41.50124, 2.13196 
1388876542, 16794.50, 41.50129, 2.13189 
1388876576, 16809.45, 41.50132, 2.13172 
1388876609, 16828.21, 41.50132, 2.13150 
1388876631, 16860.66, 41.50128, 2.13111 
1388876606, 16883.94, 41.50127, 2.13083 
1388876535, 16996.90, 41.50109, 2.12949 
1388876600, 17170.43, 41.50085, 2.12743 
1388876603, 17272.07, 41.50072, 2.12623 
1388876599, 17289.31, 41.50068, 2.12603 
1388876612, 17308.19, 41.50062, 2.12581 
1388876629, 17327.72, 41.50055, 2.12560 
1388876626, 17373.61, 41.50049, 2.12505 
1388876598, 17389.48, 41.50050, 2.12486 
1388876566, 17411.39, 41.50055, 2.12461 
1388876632, 17448.07, 41.50069, 2.12421 
1388876656, 17493.15, 41.50090, 2.12375 
1388876644, 17521.17, 41.50103, 2.12346 
1388876538, 17541.55, 41.50114, 2.12326 
1388876628, 17553.71, 41.50122, 2.12316 
1388876537, 17574.58, 41.50135, 2.12298 
1388876630, 17636.75, 41.50171, 2.12241 
1388876592, 17662.15, 41.50184, 2.12216 
1388876574, 17757.00, 41.50231, 2.12121 
1388876639, 17791.00, 41.50251, 2.12090 
1388876594, 17809.36, 41.50261, 2.12073 
1388876597, 17829.56, 41.50270, 2.12051 
1388876633, 17855.43, 41.50280, 2.12024 
1388876569, 17886.59, 41.50291, 2.11989 
1388876588, 17904.78, 41.50298, 2.11969 
1388876627, 17925.01, 41.50305, 2.11947 
1388876622, 17969.26, 41.50324, 2.11901 
1388876624, 17992.82, 41.50335, 2.11877 
1388876587, 18023.12, 41.50351, 2.11847 
1388876623, 18041.92, 41.50359, 2.11827 
1388876602, 18055.69, 41.50363, 2.11811 
1388876567, 18072.08, 41.50370, 2.11794 
1388876638, 18098.89, 41.50384, 2.11768 
1388876540, 18123.45, 41.50398, 2.11744 
1388876655, 18139.32, 41.50405, 2.11728 
1388876636, 18149.14, 41.50408, 2.11717 
1388876590, 18164.09, 41.50411, 2.11700 
1388876562, 18188.19, 41.50415, 2.11671 
1388876641, 18224.77, 41.50422, 2.11628 
1388876611, 18250.84, 41.50426, 2.11597 
1388876572, 18277.09, 41.50428, 2.11566 
1388876539, 18332.53, 41.50436, 2.11500 
1388876570, 18369.25, 41.50443, 2.11457 
1388876536, 18388.58, 41.50445, 2.11434 
1388876557, 18401.73, 41.50444, 2.11418 
1388876604, 18418.63, 41.50448, 2.11399 
1388876654, 18453.01, 41.50453, 2.11358 
1388876558, 18475.44, 41.50458, 2.11332 
1388876634, 18492.26, 41.50460, 2.11312 
1388876564, 18521.75, 41.50460, 2.11276 
1388876555, 18545.57, 41.50463, 2.11248 
1388876595, 18577.73, 41.50466, 2.11209 
576589484, 18584.38, 41.50467, 2.11202 
576589485, 18658.83, 41.50481, 2.11114 
576589486, 18691.93, 41.50486, 2.11075 
576589488, 18729.43, 41.50494, 2.11031 
576589489, 18759.04, 41.50504, 2.10999 
576589490, 18775.64, 41.50513, 2.10983 
576589491, 18785.05, 41.50521, 2.10977 
576589493, 18796.43, 41.50527, 2.10967 
576589494, 18802.50, 41.50533, 2.10969 
576589495, 18825.45, 41.50553, 2.10961 
576589496, 18829.99, 41.50557, 2.10960 
576589498, 18875.96, 41.50592, 2.10931 
576589499, 18883.85, 41.50597, 2.10925 
576589500, 18893.09, 41.50606, 2.10923 
576589501, 18900.06, 41.50611, 2.10919 
576589502, 18911.75, 41.50622, 2.10917 
