Node ID, Distance (m), Lat, Lon
1324546086, 17517.81, 41.30545, 2.01639 
1324546035, 17565.77, 41.30523, 2.01589 
1324546060, 17659.22, 41.30489, 2.01487 
1324546045, 17723.46, 41.30465, 2.01417 
1324546074, 17809.04, 41.30430, 2.01325 
1324546076, 17908.11, 41.30387, 2.01221 
1324546048, 17967.47, 41.30360, 2.01160 
1324546044, 18046.46, 41.30321, 2.01081 
1324546073, 18120.01, 41.30282, 2.01010 
1324546047, 18165.72, 41.30257, 2.00966 
1324546051, 18223.67, 41.30225, 2.00912 
1324546041, 18296.27, 41.30184, 2.00844 
1066620686, 18355.22, 41.30151, 2.00789 
1066620685, 18619.66, 41.29978, 2.00572 
1066620683, 19070.44, 41.29683, 2.00201 
1066620681, 19231.77, 41.29579, 2.00067 
1066620680, 19272.34, 41.29552, 2.00034 
1066620904, 19467.34, 41.29421, 1.99880 
1066620901, 19880.40, 41.29151, 1.99539 
1066620894, 20093.10, 41.29013, 1.99363 
1066620878, 20120.98, 41.28995, 1.99340 
1066620875, 20314.21, 41.28867, 1.99184 
1066620872, 21069.83, 41.28372, 1.98564 
1066620868, 21367.86, 41.28178, 1.98318 
213850148, 21474.64, 41.28107, 1.98232 
213850146, 21650.47, 41.27989, 1.98092 
213850144, 21892.61, 41.27828, 1.97897 
46920795, 22112.52, 41.27693, 1.97705 
970923304, 22458.58, 41.27465, 1.97423 
970923345, 22484.55, 41.27448, 1.97401 
206963838, 22679.07, 41.27323, 1.97239 
209145840, 22894.95, 41.27178, 1.97066 
46920784, 23081.91, 41.27056, 1.96913 
209145274, 23155.76, 41.27010, 1.96849 
206963837, 23269.41, 41.26947, 1.96742 
206963836, 23442.33, 41.26863, 1.96568 
46920757, 23572.00, 41.26814, 1.96427 
209178380, 23623.84, 41.26797, 1.96369 
206963835, 23677.31, 41.26782, 1.96308 
206963834, 23759.44, 41.26764, 1.96213 
206963833, 23898.95, 41.26744, 1.96048 
46920749, 24042.99, 41.26728, 1.95877 
243493995, 24184.58, 41.26711, 1.95709 
206963832, 24657.28, 41.26641, 1.95152 
46920701, 25206.83, 41.26562, 1.94503 
46920696, 25928.13, 41.26456, 1.93651 
206963831, 26040.39, 41.26430, 1.93522 
206963830, 26164.26, 41.26393, 1.93382 
206963829, 26442.91, 41.26294, 1.93075 
279742781, 26479.60, 41.26281, 1.93035 
1125509482, 26562.93, 41.26253, 1.92942 
1125509538, 26634.27, 41.26229, 1.92863 
1125509645, 26689.10, 41.26213, 1.92801 
46920686, 26779.08, 41.26187, 1.92699 
1125509516, 26813.75, 41.26178, 1.92659 
1125509556, 27077.41, 41.26108, 1.92358 
1125509693, 27284.31, 41.26019, 1.92141 
1125509513, 27353.28, 41.25982, 1.92074 
46920679, 27561.89, 41.25881, 1.91864 
1125509469, 28238.43, 41.25616, 1.91136 
1125509504, 28297.17, 41.25604, 1.91067 
1125509534, 28404.41, 41.25586, 1.90941 
46920675, 28513.83, 41.25571, 1.90812 
528908100, 28579.04, 41.25558, 1.90736 
528908099, 28675.37, 41.25541, 1.90623 
528908114, 28776.92, 41.25521, 1.90504 
528908115, 28825.57, 41.25509, 1.90449 
528908120, 28874.64, 41.25491, 1.90395 
1125509520, 28945.07, 41.25464, 1.90319 
528908098, 29017.05, 41.25432, 1.90244 
1125509551, 29238.70, 41.25309, 1.90035 
493876704, 29459.91, 41.25199, 1.89814 
46920665, 30465.49, 41.24819, 1.88723 
46920658, 31346.49, 41.24519, 1.87748 
46920652, 32214.37, 41.24295, 1.86753 
46920645, 32775.64, 41.24055, 1.86163 
46920641, 33898.39, 41.23598, 1.84965 
46920617, 34624.18, 41.23585, 1.84098 
46920629, 35227.68, 41.23607, 1.83376 
46920613, 35770.50, 41.23769, 1.82764 
1422370776, 36080.81, 41.23765, 1.82393 
1170456908, 36393.32, 41.23743, 1.82021 
46920603, 36509.43, 41.23745, 1.81882 
1422370788, 36716.98, 41.23788, 1.81641 
420200118, 37156.35, 41.23891, 1.81133 
46920597, 37306.07, 41.23925, 1.80960 
420210359, 37454.55, 41.23937, 1.80783 
374309863, 37553.50, 41.23937, 1.80665 
374304785, 37570.13, 41.23937, 1.80645 
374292155, 37676.24, 41.23939, 1.80518 
46920581, 37795.48, 41.23922, 1.80377 
374311239, 37905.53, 41.23889, 1.80253 
374310349, 38071.02, 41.23824, 1.80075 
374332822, 38122.82, 41.23803, 1.80020 
46920591, 38797.26, 41.23531, 1.79299 
663771881, 38856.15, 41.23498, 1.79244 
663771880, 38892.93, 41.23477, 1.79209 
46920574, 39543.19, 41.23114, 1.78600 
