Node ID: 1066620868,  Distance: 21367.86 m
Node ID: 213850148,  Distance: 21474.64 m
Node ID: 213850146,  Distance: 21650.47 m
Node ID: 213850144,  Distance: 21892.61 m
Node ID: 46920795,  Distance: 22112.52 m
Node ID: 970923304,  Distance: 22458.58 m
Node ID: 970923345,  Distance: 22484.55 m
Node ID: 206963838,  Distance: 22679.07 m
Node ID: 209145840,  Distance: 22894.95 m
Node ID: 46920784,  Distance: 23081.91 m
Node ID: 209145274,  Distance: 23155.76 m
Node ID: 206963837,  Distance: 23269.41 m
Node ID: 206963836,  Distance: 23442.33 m
Node ID: 46920757,  Distance: 23572.00 m
Node ID: 209178380,  Distance: 23623.84 m
Node ID: 206963835,  Distance: 23677.31 m
Node ID: 206963834,  Distance: 23759.44 m
Node ID: 206963833,  Distance: 23898.95 m
Node ID: 46920749,  Distance: 24042.99 m
Node ID: 243493995,  Distance: 24184.58 m
Node ID: 206963832,  Distance: 24657.28 m
Node ID: 46920701,  Distance: 25206.83 m
Node ID: 46920696,  Distance: 25928.13 m
Node ID: 206963831,  Distance: 26040.39 m
Node ID: 206963830,  Distance: 26164.26 m
Node ID: 206963829,  Distance: 26442.91 m
Node ID: 279742781,  Distance: 26479.60 m
Node ID: 1125509482,  Distance: 26562.93 m
Node ID: 1125509538,  Distance: 26634.27 m
Node ID: 1125509645,  Distance: 26689.10 m
Node ID: 46920686,  Distance: 26779.08 m
Node ID: 1125509516,  Distance: 26813.75 m
Node ID: 1125509556,  Distance: 27077.41 m
Node ID: 1125509693,  Distance: 27284.31 m
Node ID: 1125509513,  Distance: 27353.28 m
Node ID: 46920679,  Distance: 27561.89 m
Node ID: 1125509469,  Distance: 28238.43 m
Node ID: 1125509504,  Distance: 28297.17 m
Node ID: 1125509534,  Distance: 28404.41 m
Node ID: 46920675,  Distance: 28513.83 m
Node ID: 528908100,  Distance: 28579.04 m
Node ID: 528908099,  Distance: 28675.37 m
Node ID: 528908114,  Distance: 28776.92 m
Node ID: 528908115,  Distance: 28825.57 m
Node ID: 528908120,  Distance: 28874.64 m
Node ID: 1125509520,  Distance: 28945.07 m
Node ID: 528908098,  Distance: 29017.05 m
Node ID: 1125509551,  Distance: 29238.70 m
Node ID: 493876704,  Distance: 29459.91 m
Node ID: 46920665,  Distance: 30465.49 m
Node ID: 46920658,  Distance: 31346.49 m
Node ID: 46920652,  Distance: 32214.37 m
Node ID: 46920645,  Distance: 32775.64 m
Node ID: 46920641,  Distance: 33898.39 m
Node ID: 46920617,  Distance: 34624.18 m
Node ID: 46920629,  Distance: 35227.68 m
Node ID: 46920613,  Distance: 35770.50 m
Node ID: 1422370776,  Distance: 36080.81 m
Node ID: 1170456908,  Distance: 36393.32 m
Node ID: 46920603,  Distance: 36509.43 m
Node ID: 1422370788,  Distance: 36716.98 m
Node ID: 420200118,  Distance: 37156.35 m
Node ID: 46920597,  Distance: 37306.07 m
Node ID: 420210359,  Distance: 37454.55 m
Node ID: 374309863,  Distance: 37553.50 m
Node ID: 374304785,  Distance: 37570.13 m
Node ID: 374292155,  Distance: 37676.24 m
Node ID: 46920581,  Distance: 37795.48 m
Node ID: 374311239,  Distance: 37905.53 m
Node ID: 374310349,  Distance: 38071.02 m
Node ID: 374332822,  Distance: 38122.82 m
Node ID: 46920591,  Distance: 38797.26 m
Node ID: 663771881,  Distance: 38856.15 m
Node ID: 663771880,  Distance: 38892.93 m
Node ID: 46920574,  Distance: 39543.19 m
Node ID: 420376551,  Distance: 39786.93 m
Node ID: 420376552,  Distance: 39962.61 m
Node ID: 46920562,  Distance: 40440.13 m
Node ID: 420433401,  Distance: 40789.42 m
Node ID: 46920551,  Distance: 40997.05 m
Node ID: 420433399,  Distance: 41324.05 m
Node ID: 504894368,  Distance: 41793.76 m
Node ID: 504894355,  Distance: 41984.21 m
Node ID: 46920545,  Distance: 42072.33 m
Node ID: 1300507865,  Distance: 42147.65 m
Node ID: 1300507870,  Distance: 42222.67 m
Node ID: 504894339,  Distance: 42375.07 m
Node ID: 504894340,  Distance: 42507.99 m
Node ID: 46920537,  Distance: 42626.91 m
Node ID: 504894329,  Distance: 42818.19 m
Node ID: 336906614,  Distance: 43345.48 m
Node ID: 1134704593,  Distance: 43488.76 m
Node ID: 46920525,  Distance: 43595.52 m
Node ID: 1134704682,  Distance: 43727.44 m
Node ID: 634581243,  Distance: 43987.50 m
Node ID: 46920511,  Distance: 44320.69 m
Node ID: 633689808,  Distance: 44397.89 m
Node ID: 632209935,  Distance: 44550.29 m
Node ID: 939097568,  Distance: 45246.78 m
Node ID: 46920492,  Distance: 45294.67 m
Node ID: 634581141,  Distance: 45369.11 m
Node ID: 634581137,  Distance: 45545.37 m
Node ID: 634581113,  Distance: 45982.20 m
Node ID: 46920484,  Distance: 46211.59 m
Node ID: 634581072,  Distance: 46618.37 m
Node ID: 46920461,  Distance: 46814.36 m
Node ID: 634581068,  Distance: 46879.63 m
Node ID: 1299717969,  Distance: 46939.16 m
Node ID: 634581067,  Distance: 46999.40 m
Node ID: 634581070,  Distance: 47097.84 m
Node ID: 46920444,  Distance: 47569.62 m
Node ID: 46920427,  Distance: 47760.98 m
Node ID: 634581063,  Distance: 47919.81 m
Node ID: 634581064,  Distance: 48089.73 m
Node ID: 634581065,  Distance: 48241.10 m
Node ID: 796751037,  Distance: 49119.07 m
Node ID: 796751049,  Distance: 49192.11 m
Node ID: 46920419,  Distance: 49672.95 m
Node ID: 957147045,  Distance: 49933.69 m
Node ID: 957147044,  Distance: 50052.61 m
Node ID: 46920413,  Distance: 50912.40 m
Node ID: 367656942,  Distance: 51702.31 m
Node ID: 46920404,  Distance: 52229.59 m
Node ID: 1489169407,  Distance: 52884.78 m
Node ID: 1489169400,  Distance: 53242.02 m
Node ID: 46920389,  Distance: 53468.39 m
Node ID: 46920379,  Distance: 54757.36 m
Node ID: 1066621412,  Distance: 55811.32 m
Node ID: 46920376,  Distance: 56090.69 m
Node ID: 46920344,  Distance: 57295.90 m
Node ID: 540031213,  Distance: 58308.98 m
Node ID: 540031211,  Distance: 58356.65 m
Node ID: 46920333,  Distance: 58697.70 m
Node ID: 540031157,  Distance: 59002.88 m
Node ID: 540031155,  Distance: 59033.02 m
Node ID: 46920324,  Distance: 59334.33 m
Node ID: 46920312,  Distance: 60028.05 m
Node ID: 46920307,  Distance: 60910.16 m
Node ID: 46920293,  Distance: 61914.85 m
Node ID: 619499719,  Distance: 62093.97 m
Node ID: 892728793,  Distance: 62434.21 m
Node ID: 46920282,  Distance: 62743.86 m
Node ID: 619499715,  Distance: 62900.26 m
Node ID: 619499713,  Distance: 63037.08 m
Node ID: 619499710,  Distance: 63371.73 m
Node ID: 46920276,  Distance: 63761.41 m
Node ID: 46919904,  Distance: 64709.69 m
Node ID: 46919896,  Distance: 65783.41 m
Node ID: 46919508,  Distance: 66663.02 m
Node ID: 46919499,  Distance: 67752.72 m
Node ID: 795963086,  Distance: 69073.05 m
Node ID: 795962816,  Distance: 69083.42 m
Node ID: 46911473,  Distance: 69230.37 m
Node ID: 1066621668,  Distance: 69451.83 m
Node ID: 1066621666,  Distance: 69602.13 m
Node ID: 46911470,  Distance: 69785.18 m
Node ID: 46911466,  Distance: 70563.76 m
Node ID: 46911457,  Distance: 71501.93 m
Node ID: 46911448,  Distance: 72645.22 m
Node ID: 46911442,  Distance: 73286.46 m
Node ID: 271498120,  Distance: 73654.30 m
Node ID: 46911440,  Distance: 73963.90 m
Node ID: 46911436,  Distance: 75223.87 m
Node ID: 1308922868,  Distance: 75643.21 m
Node ID: 46911433,  Distance: 75921.81 m
Node ID: 1208534753,  Distance: 76337.96 m
Node ID: 1208534775,  Distance: 76374.42 m
Node ID: 46911424,  Distance: 76501.01 m
Node ID: 1208534862,  Distance: 76603.14 m
Node ID: 1208534837,  Distance: 76659.57 m
Node ID: 1208534866,  Distance: 76764.89 m
Node ID: 46911418,  Distance: 76983.11 m
Node ID: 46911408,  Distance: 77566.63 m
Node ID: 46911399,  Distance: 78243.14 m
Node ID: 1088337416,  Distance: 78298.36 m
Node ID: 1088337462,  Distance: 78343.71 m
Node ID: 1088337559,  Distance: 78439.47 m
Node ID: 1088337543,  Distance: 78518.86 m
Node ID: 1088337614,  Distance: 78599.56 m
Node ID: 1088337394,  Distance: 78681.13 m
Node ID: 46911392,  Distance: 78760.90 m
Node ID: 46911385,  Distance: 78992.67 m
Node ID: 46911378,  Distance: 79687.21 m
Node ID: 46911324,  Distance: 80080.27 m
Node ID: 46911319,  Distance: 80524.88 m
Node ID: 1088337795,  Distance: 80705.13 m
Node ID: 1088337670,  Distance: 80852.45 m
Node ID: 46911310,  Distance: 80970.60 m
Node ID: 46911201,  Distance: 81511.86 m
Node ID: 46911193,  Distance: 82052.31 m
Node ID: 46911185,  Distance: 82385.88 m
Node ID: 46911175,  Distance: 82886.15 m
Node ID: 408186712,  Distance: 83249.38 m
Node ID: 46911169,  Distance: 83613.23 m
Node ID: 46911161,  Distance: 83994.02 m
Node ID: 46911154,  Distance: 84348.52 m
Node ID: 46911148,  Distance: 84648.87 m
Node ID: 822145092,  Distance: 84983.96 m
Node ID: 46911143,  Distance: 84996.07 m
Node ID: 46911136,  Distance: 85369.48 m
Node ID: 46911128,  Distance: 85657.96 m
Node ID: 46911123,  Distance: 85888.30 m
Node ID: 46911118,  Distance: 86157.49 m
Node ID: 46911111,  Distance: 86447.03 m
Node ID: 46911105,  Distance: 86711.67 m
Node ID: 1254685684,  Distance: 86909.35 m
Node ID: 46911089,  Distance: 86984.41 m
Node ID: 1030655370,  Distance: 87043.41 m
Node ID: 912172872,  Distance: 87119.66 m
Node ID: 1030655256,  Distance: 87153.91 m
Node ID: 1030655380,  Distance: 87187.11 m
Node ID: 46911086,  Distance: 87228.94 m
Node ID: 46911097,  Distance: 87254.02 m
Node ID: 912172977,  Distance: 87389.76 m
Node ID: 912172948,  Distance: 87405.77 m
Node ID: 1030655350,  Distance: 87429.88 m
Node ID: 1030655266,  Distance: 87443.07 m
Node ID: 954842742,  Distance: 87453.45 m
Node ID: 954843584,  Distance: 87472.12 m
Node ID: 1030655328,  Distance: 87487.58 m
Node ID: 1030655241,  Distance: 87498.97 m
Node ID: 954842869,  Distance: 87509.88 m
Node ID: 1030655276,  Distance: 87524.61 m
Node ID: 262160337,  Distance: 87538.64 m
Node ID: 1030655376,  Distance: 87558.76 m
Node ID: 954842818,  Distance: 87578.56 m
Node ID: 1060085571,  Distance: 87595.23 m
Node ID: 1030655264,  Distance: 87598.34 m
Node ID: 995925810,  Distance: 87605.27 m
Node ID: 995925537,  Distance: 87612.49 m
Node ID: 995925456,  Distance: 87619.61 m
Node ID: 995925700,  Distance: 87630.17 m
Node ID: 819190327,  Distance: 87640.29 m
Node ID: 995925791,  Distance: 87659.90 m
Node ID: 819190504,  Distance: 87665.72 m
Node ID: 819190280,  Distance: 87673.17 m
Node ID: 819190457,  Distance: 87679.66 m
Node ID: 819190474,  Distance: 87684.82 m
Node ID: 819190406,  Distance: 87697.25 m
Node ID: 891619038,  Distance: 87718.10 m
Node ID: 819190392,  Distance: 87745.64 m
Node ID: 819190459,  Distance: 87775.35 m
Node ID: 819190364,  Distance: 87846.51 m
Node ID: 819190346,  Distance: 87911.54 m
Node ID: 819190350,  Distance: 87997.72 m
Node ID: 819190437,  Distance: 88050.61 m
Node ID: 819190412,  Distance: 88104.82 m
Node ID: 819190361,  Distance: 88165.38 m
Node ID: 819190264,  Distance: 88186.24 m
Node ID: 819190484,  Distance: 88220.66 m
Node ID: 333363327,  Distance: 88232.43 m
Node ID: 819190447,  Distance: 88259.58 m
Node ID: 333363326,  Distance: 88329.77 m
Node ID: 332308109,  Distance: 88342.62 m
Node ID: 332308214,  Distance: 88412.32 m
Node ID: 819542805,  Distance: 88427.47 m
Node ID: 819543012,  Distance: 88450.47 m
Node ID: 819190464,  Distance: 88513.11 m
Node ID: 1042837024,  Distance: 88539.84 m
Node ID: 1042837210,  Distance: 88592.25 m
Node ID: 332308681,  Distance: 88616.24 m
Node ID: 332308682,  Distance: 88656.58 m
Node ID: 1042836424,  Distance: 88679.10 m
Node ID: 367091845,  Distance: 88690.09 m
Node ID: 1002484432,  Distance: 88738.40 m
Node ID: 332127854,  Distance: 89099.13 m
Node ID: 408184949,  Distance: 89103.31 m
Node ID: 408184948,  Distance: 89261.09 m
Node ID: 332127855,  Distance: 89266.72 m
Node ID: 333295739,  Distance: 89284.24 m
Node ID: 332127473,  Distance: 89307.27 m
Node ID: 963264759,  Distance: 89309.70 m
Node ID: 963264679,  Distance: 89313.44 m
Node ID: 332127355,  Distance: 89317.04 m
Node ID: 963264313,  Distance: 89321.99 m
Node ID: 332127356,  Distance: 89326.05 m
Node ID: 963264774,  Distance: 89328.78 m
Node ID: 963264375,  Distance: 89333.80 m
Node ID: 332127357,  Distance: 89338.05 m
Node ID: 963264023,  Distance: 89342.22 m
Node ID: 963264436,  Distance: 89345.73 m
Node ID: 332127347,  Distance: 89349.50 m
Node ID: 963264803,  Distance: 89351.35 m
Node ID: 963264393,  Distance: 89354.53 m
Node ID: 963264040,  Distance: 89358.57 m
Node ID: 332127469,  Distance: 89362.74 m
Node ID: 963264452,  Distance: 89365.55 m
Node ID: 963264118,  Distance: 89370.11 m
Node ID: 963264332,  Distance: 89378.50 m
Node ID: 963264702,  Distance: 89387.76 m
Node ID: 963264069,  Distance: 89399.07 m
Node ID: 963264422,  Distance: 89408.47 m
Node ID: 963264009,  Distance: 89419.68 m
Node ID: 963264359,  Distance: 89470.80 m
Node ID: 963264742,  Distance: 89511.86 m
Node ID: 963264646,  Distance: 89524.85 m
Node ID: 408184939,  Distance: 89532.14 m
Node ID: 826246112,  Distance: 89536.10 m
Node ID: 408184940,  Distance: 89538.82 m
Node ID: 826246117,  Distance: 89541.50 m
Node ID: 408184941,  Distance: 89544.42 m
Node ID: 826246124,  Distance: 89546.55 m
Node ID: 408184942,  Distance: 89549.58 m
Node ID: 826246130,  Distance: 89552.29 m
Node ID: 276794471,  Distance: 89554.87 m
Node ID: 1000894987,  Distance: 89577.41 m
Node ID: 1000894757,  Distance: 89729.86 m
Node ID: 408184934,  Distance: 89880.16 m
Node ID: 333348964,  Distance: 89975.44 m
Node ID: 1000894676,  Distance: 90070.40 m
Node ID: 1000895145,  Distance: 90077.67 m
Node ID: 1000895252,  Distance: 90112.42 m
Node ID: 411830339,  Distance: 90134.64 m
Node ID: 1000895523,  Distance: 90153.02 m
Node ID: 999438016,  Distance: 90183.47 m
Node ID: 1000894772,  Distance: 90231.91 m
Node ID: 1000894774,  Distance: 90262.44 m
Node ID: 1000894632,  Distance: 90309.44 m
Node ID: 1000895486,  Distance: 90321.89 m
Node ID: 1000894521,  Distance: 90330.53 m
Node ID: 333299541,  Distance: 90406.43 m
Node ID: 408184914,  Distance: 90446.86 m
Node ID: 408184921,  Distance: 90490.67 m
Node ID: 408184930,  Distance: 90510.51 m
Node ID: 915389454,  Distance: 90651.15 m
Node ID: 915552054,  Distance: 90712.48 m
Node ID: 915552057,  Distance: 90805.53 m
Node ID: 1031598819,  Distance: 90844.30 m
Node ID: 1014860918,  Distance: 90881.64 m
Node ID: 1029886904,  Distance: 91025.95 m
Node ID: 915389448,  Distance: 91045.21 m
Node ID: 1029886629,  Distance: 91067.95 m
Node ID: 1029886681,  Distance: 91157.62 m
Node ID: 1029886617,  Distance: 91196.66 m
Node ID: 1029931428,  Distance: 91204.89 m
Node ID: 1029931593,  Distance: 91230.74 m
Node ID: 1029931567,  Distance: 91303.40 m
Node ID: 918165032,  Distance: 91357.03 m
Node ID: 997681199,  Distance: 91369.74 m
Node ID: 997681655,  Distance: 91385.73 m
Node ID: 997681465,  Distance: 91394.87 m
Node ID: 918165062,  Distance: 91403.94 m
Node ID: 996609249,  Distance: 91409.73 m
Node ID: 996609475,  Distance: 91417.75 m
Node ID: 918165030,  Distance: 91422.39 m
Node ID: 996609434,  Distance: 91426.45 m
Node ID: 996609556,  Distance: 91434.39 m
Node ID: 918165039,  Distance: 91440.20 m
Node ID: 918165056,  Distance: 91474.22 m
Node ID: 996608976,  Distance: 91494.65 m
Node ID: 1419321359,  Distance: 91597.55 m
Node ID: 251718035,  Distance: 92192.27 m
Node ID: 276790396,  Distance: 92724.76 m
Node ID: 529091963,  Distance: 92766.72 m
Node ID: 529091964,  Distance: 92780.66 m
Node ID: 529091957,  Distance: 92799.16 m
Node ID: 529091958,  Distance: 92812.56 m
Node ID: 276790392,  Distance: 92856.82 m
Node ID: 919768920,  Distance: 93570.53 m
Node ID: 276791878,  Distance: 94663.84 m
Node ID: 529091944,  Distance: 94836.15 m
Node ID: 276794552,  Distance: 94957.60 m
Node ID: 276792047,  Distance: 95342.33 m
Node ID: 276790391,  Distance: 95792.46 m
Node ID: 276790890,  Distance: 95833.10 m
Node ID: 276790889,  Distance: 95855.47 m
Node ID: 276790899,  Distance: 95872.39 m
Node ID: 276790898,  Distance: 95896.13 m
Node ID: 276790897,  Distance: 95916.15 m
Node ID: 276790896,  Distance: 95929.87 m
Node ID: 529091839,  Distance: 95947.16 m
Node ID: 529091840,  Distance: 95992.83 m
Node ID: 529091835,  Distance: 96017.86 m
Node ID: 529091833,  Distance: 96037.15 m
Node ID: 529091820,  Distance: 96053.39 m
Node ID: 529091821,  Distance: 96071.75 m
Node ID: 529091826,  Distance: 96091.22 m
Node ID: 529091823,  Distance: 96111.97 m
Node ID: 529091822,  Distance: 96179.89 m
Node ID: 529091824,  Distance: 96218.17 m
Node ID: 529091817,  Distance: 96258.30 m
Node ID: 529091816,  Distance: 96384.45 m
Node ID: 529091779,  Distance: 96415.28 m
Node ID: 529091780,  Distance: 96445.97 m
Node ID: 529091781,  Distance: 96474.53 m
Node ID: 529091782,  Distance: 96503.59 m
Node ID: 529091786,  Distance: 96530.30 m
Node ID: 529091785,  Distance: 96538.85 m
Node ID: 529091795,  Distance: 96547.55 m
Node ID: 529091790,  Distance: 96555.98 m
Node ID: 529091793,  Distance: 96564.27 m
Node ID: 529091792,  Distance: 96575.80 m
Node ID: 529091729,  Distance: 96586.86 m
Node ID: 529091728,  Distance: 96599.92 m
Node ID: 529091724,  Distance: 96727.11 m
Node ID: 529686082,  Distance: 96825.17 m
Node ID: 529091706,  Distance: 96890.33 m
Node ID: 529091714,  Distance: 96962.98 m
Node ID: 529091711,  Distance: 97013.31 m
Node ID: 529091710,  Distance: 97031.81 m
